naam;bron_url;eigen_domein;imio_site;pv_url;heeft_pdfs;heeft_jaarpaginas;pdf_count;aanbeveling;opmerkingen
Aiseau-Presles;https://www.deliberations.be/aiseau-presles;https://www.aiseau-presles.be;True;;False;False;0;deliberations.be (ongewijzigd);
Andenne;https://www.deliberations.be/andenne;https://www.andenne.be;False;https://www.andenne.be/conseil-communal/proces-verbaux;True;False;1;EIGEN SITE: https://www.andenne.be/conseil-communal/proces-verbaux;Eigen website is GEEN iMio-site | 1 PDF(s) gevonden (pad: /conseil-communal/proces-verbaux)
Anderlues;https://www.deliberations.be/anderlues;https://www.anderlues.be;True;;False;False;0;deliberations.be (ongewijzigd);
Anthisnes;https://www.deliberations.be/anthisnes;https://www.anthisnes.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Arlon;https://www.deliberations.be/arlon;https://www.arlon.be;True;https://www.arlon.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;False;23;EIGEN SITE: https://www.arlon.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;23 PDF(s) gevonden (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux)
Assesse;https://www.deliberations.be/assesse;https://www.assesse.be;True;;False;False;0;deliberations.be (ongewijzigd);
Ath;https://www.deliberations.be/ath;https://www.ath.be;True;;False;False;0;deliberations.be (ongewijzigd);
Attert;https://www.deliberations.be/attert;https://www.attert.be;True;;False;False;0;deliberations.be (ongewijzigd);
Aubel;https://www.deliberations.be/aubel;https://www.aubel.be;True;;False;False;0;deliberations.be (ongewijzigd);
Awans;https://www.deliberations.be/awans;https://www.awans.be;True;;False;False;0;deliberations.be (ongewijzigd);
Baelen;https://www.deliberations.be/baelen;https://www.baelen.be;True;;False;False;0;deliberations.be (ongewijzigd);
Bastogne;https://www.deliberations.be/bastogne;https://www.bastogne.be;True;;False;False;0;deliberations.be (ongewijzigd);
Beaumont;https://www.deliberations.be/beaumont;https://www.beaumont.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Beauraing;https://www.deliberations.be/beauraing;https://www.beauraing.be;True;https://www.beauraing.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;False;True;0;deliberations.be (ongewijzigd);Jaarpagina's gevonden: ['2013'] (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux) - PDFs op subpaginas mogelijk
Belœil;https://deliberations.be/beloeil;https://www.beloeil.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Berloz;https://www.deliberations.be/berloz;https://www.berloz.be;True;;False;False;0;deliberations.be (ongewijzigd);
Bertrix;https://www.deliberations.be/bertrix;https://www.bertrix.be;False;https://www.bertrix.be/vie-politique/conseil-communal/pv-du-conseil;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Beyne-Heusay;https://www.deliberations.be/beyne-heusay;https://www.beyne-heusay.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Binche;https://www.deliberations.be/binche;https://www.binche.be;True;;False;False;0;deliberations.be (ongewijzigd);
